"","Financial.Year","Demographic.Derived.Household.Type.LCFS","Expenditure.Housing_mean_ratio","Expenditure.Housing_median_ratio","Expenditure.Utilities.MART_mean_ratio","Expenditure.Utilities.MART_median_ratio","Expenditure.Food.House.Keeping.MART_mean_ratio","Expenditure.Food.House.Keeping.MART_median_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"46","2023-24",NA,0.0847253180039026,0.0558686151042707,0.0765605888958511,0.0520838846275223,0.175021724544025,0.114514217823321,"Owned Outright",NA,NA,NA,NA
"47","2023-24",NA,0.391498999270232,0.282423500998374,0.0878209537580576,0.0695829275007938,0.195166835479996,0.160080253981124,"Private Rental",NA,NA,NA,NA
"48","2023-24",NA,0.251216237140254,0.197241245289428,0.103316076982995,0.0885860303360685,0.233293790860248,0.20357349847012,"Social Housing",NA,NA,NA,NA
"49","2020-21",NA,0.305462650084519,0.291159630627901,0.0314217927022818,0.0292380202597937,0.12155382342758,0.11429867423562,NA,"Full-Time",NA,NA,NA
"50","2020-21",NA,0.201311042763473,0.108937049583426,0.042589025724139,0.0374274728605179,0.14764747259545,0.118712161766729,NA,"Part-Time 0-15",NA,NA,NA
"51","2020-21",NA,0.286982917725038,0.25932778365999,0.0451608068070465,0.0404751785967256,0.162652146151247,0.153521114435125,NA,"Part-Time 16-34",NA,NA,NA
"52","2020-21",NA,0.175302119176212,0.0869429194972892,0.0571614502861594,0.0448816826255189,0.184462073653003,0.148050826470513,NA,"Unemployed",NA,NA,NA
"53","2021-22",NA,0.297652397392997,0.285234133942086,0.0398992845010564,0.0370132750986291,0.113496658350568,0.105429711406153,NA,"Full-Time",NA,NA,NA
"54","2021-22",NA,0.230394696031828,0.128059392029422,0.0620378254887861,0.049937000166284,0.158160152692187,0.137231655310868,NA,"Part-Time 0-15",NA,NA,NA
"55","2021-22",NA,0.27557442895467,0.246271553741818,0.0559986118052056,0.0513831435662596,0.152130636851518,0.136993544479641,NA,"Part-Time 16-34",NA,NA,NA
"56","2021-22",NA,0.188895510345945,0.0902114962932591,0.0831983705673377,0.0570276376188823,0.207986194620039,0.146626625379053,NA,"Unemployed",NA,NA,NA
"57","2022-23",NA,0.307471262880481,0.290113164203889,0.0451052749818693,0.0428797017604347,0.111451489125063,0.102987072861809,NA,"Full-Time",NA,NA,NA
"58","2022-23",NA,0.240020426252658,0.129460842395045,0.0706762753480266,0.0576280278332032,0.160919111524167,0.121722340088542,NA,"Part-Time 0-15",NA,NA,NA
"59","2022-23",NA,0.345082069610851,0.250194282856151,0.070950085468387,0.0570722702845839,0.163758674990533,0.138100573299908,NA,"Part-Time 16-34",NA,NA,NA
"60","2022-23",NA,0.194899299990556,0.0921853126034697,0.0910848917475372,0.0642055982232543,0.211607088296131,0.150090217216712,NA,"Unemployed",NA,NA,NA
"61","2023-24",NA,0.330143359981808,0.302851972450897,0.0461663177931648,0.043087147562234,0.107877659784882,0.101671912083911,NA,"Full-Time",NA,NA,NA
"62","2023-24",NA,0.247849360429156,0.125962856930828,0.0731239817190813,0.0607251151209021,0.150433367187684,0.118061823497407,NA,"Part-Time 0-15",NA,NA,NA
"63","2023-24",NA,0.344115880693796,0.244046362972647,0.0709837746702984,0.0616707777850733,0.157510684986969,0.13254540772275,NA,"Part-Time 16-34",NA,NA,NA
"64","2023-24",NA,0.192838561813716,0.0894820974433824,0.0905921997416702,0.0648806754397434,0.206071051095438,0.146658303633603,NA,"Unemployed",NA,NA,NA
"65","2020-21",NA,0.17110118898404,0.116452427736519,0.055382486546484,0.0501803494285581,0.192725026694048,0.177349706740696,NA,NA,"Disability.Benefits",NA,NA
"66","2020-21",NA,0.294606800801805,0.187802792818467,0.0934665344418555,0.0754147812971342,0.259793400454231,0.207767722473605,NA,NA,"Disability.No.Benefits",NA,NA
"67","2020-21",NA,0.228951509180331,0.150390495833254,0.0464245025686409,0.0357703860659344,0.156166680466017,0.125788682908252,NA,NA,"None",NA,NA
"68","2021-22",NA,0.179946208095468,0.122865439766997,0.0681833447830432,0.0610542742318728,0.19349966747911,0.179237057884911,NA,NA,"Disability.Benefits",NA,NA
"69","2021-22",NA,0.33931090974004,0.252513232235484,0.109457275056852,0.0843613777794767,0.254548291798959,0.214321395951556,NA,NA,"Disability.No.Benefits",NA,NA
"70","2021-22",NA,0.232516612681784,0.155861732455668,0.0678620285898286,0.0453744728553889,0.17057269909857,0.120640625542008,NA,NA,"None",NA,NA
"71","2022-23",NA,0.185957596840049,0.125729920699528,0.0766930554919894,0.0724826352031288,0.191870809699621,0.177815600275134,NA,NA,"Disability.Benefits",NA,NA
"72","2022-23",NA,0.347523160538566,0.263552904466685,0.119529852756742,0.100205848672407,0.256617302187643,0.212270776950667,NA,NA,"Disability.No.Benefits",NA,NA
"73","2022-23",NA,0.247390074557473,0.159312841716189,0.0754913147222474,0.0509685620824934,0.17459966639295,0.120926635142861,NA,NA,"None",NA,NA
"74","2023-24",NA,0.184400593737398,0.120477792108136,0.0803235351941106,0.0737042316426047,0.187002930819253,0.172328750252791,NA,NA,"Disability.Benefits",NA,NA
"75","2023-24",NA,0.337136993255288,0.252135026963316,0.122106099804492,0.0997156066000082,0.254530307380737,0.209997778412636,NA,NA,"Disability.No.Benefits",NA,NA
"76","2023-24",NA,0.25407936957028,0.156906919907944,0.0746897710780451,0.0526751151571062,0.169274112951225,0.11874250393222,NA,NA,"None",NA,NA
"77","2020-21",NA,0.195634375590999,0.118866655037504,0.0466488745115962,0.0367662202121099,0.15695634567812,0.12984142676385,NA,NA,NA,"Not UC",NA
"78","2020-21",NA,0.384232787211714,0.307807140699142,0.0665325602314658,0.0527129603598538,0.220482828822131,0.189054977187366,NA,NA,NA,"UC",NA
"79","2021-22",NA,0.199689942959985,0.12306282731767,0.0672377074208351,0.0460376330027217,0.171992611285716,0.123313112227139,NA,NA,NA,"Not UC",NA
"80","2021-22",NA,0.394054927188511,0.329250625576189,0.0814300157881029,0.0722675575616752,0.212125215756947,0.190053124781498,NA,NA,NA,"UC",NA
"81","2022-23",NA,0.206479258782741,0.126009053627461,0.0742228307672318,0.0522275486053154,0.174225445539949,0.123309333500862,NA,NA,NA,"Not UC",NA
"82","2022-23",NA,0.449869925680057,0.337820950816105,0.0952592357655791,0.0794319351910499,0.220114716849999,0.188561754084714,NA,NA,NA,"UC",NA
"83","2023-24",NA,0.213520697808519,0.123381081887681,0.0742625471959953,0.0537480839458704,0.169517117323526,0.121383357203651,NA,NA,NA,"Not UC",NA
"84","2023-24",NA,0.438451828791063,0.32454396166952,0.0962662254255766,0.0802990683310594,0.211701469503773,0.176923835936777,NA,NA,NA,"UC",NA
"85","2020-21",NA,0.210741812640803,0.137367625979886,0.0491134091124676,0.0384093411517681,0.164847222988917,0.136794169528508,NA,NA,NA,NA,"White"
"86","2020-21",NA,0.515406353362271,0.301493441729389,0.0701273639002767,0.0514776664144261,0.231234512583788,0.115775234706278,NA,NA,NA,NA,"Mixed race"
"87","2020-21",NA,0.293229141367569,0.267257757537462,0.0597897036714282,0.0369383737555027,0.204359581285617,0.125587855303818,NA,NA,NA,NA,"Asian or Asian British"
"88","2020-21",NA,0.177920552281199,0.127889748594812,0.0465543826646239,0.0485673581642681,0.159620438084096,0.153234184267643,NA,NA,NA,NA,"Black or Black British"
"89","2020-21",NA,0.359122236968009,0.282425310718204,0.0416612385242513,0.0359047352400266,0.134109243038582,0.12452249083722,NA,NA,NA,NA,"Other ethnic group"
"90","2020-21",NA,0.221449821173938,0.132849687284626,0.0480786561324226,0.0387249602203356,0.162007187613202,0.13475861269396,NA,NA,NA,NA,NA
"91","2021-22",NA,0.215351545715688,0.143163000415688,0.0722557674904571,0.0505959996205901,0.179913916089493,0.131471963019566,NA,NA,NA,NA,"White"
"92","2021-22",NA,0.635702100814066,0.290878916703981,0.146686534062471,0.0551625130447249,0.335464355603383,0.13949571338762,NA,NA,NA,NA,"Mixed race"
"93","2021-22",NA,0.315117776665552,0.256868378254166,0.0685434255778102,0.0504913159365652,0.17730674550174,0.118636165168242,NA,NA,NA,NA,"Asian or Asian British"
